local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp,anormal,temp_faixa
1,04/10/2023,07:40:05,-18.917252,-48.231033,71.0,26.487503,26.064999,26.0525,26.073334,26.094168,26.115,26.115,26.115,26.094168,2023-04-10 07:40:05,3.090521125000002,1,"(1.9, 3.8]"
1,04/10/2023,07:40:35,-18.917356,-48.231094,71.25,26.5375,26.1775,26.0525,26.0525,26.073334,26.115,26.115,26.115,26.1775,2023-04-10 07:40:35,3.109791750000003,1,"(1.9, 3.8]"
1,04/10/2023,07:41:35,-18.91774,-48.230747,71.875,26.5,26.1775,26.1775,26.1775,26.1775,26.1775,26.1775,26.1775,26.1775,2023-04-10 07:41:35,3.177500000000002,1,"(1.9, 3.8]"
1,04/10/2023,07:42:05,-18.917892,-48.230652,71.625,26.550003,26.1775,26.115,26.1775,26.1775,26.1775,26.1775,26.1775,26.1775,2023-04-10 07:42:05,3.169687500000002,1,"(1.9, 3.8]"
1,04/10/2023,07:42:35,-18.917944,-48.230625,71.25,26.612501,26.1775,26.115,26.115,26.135834,26.156668,26.1775,26.1775,26.1775,2023-04-10 07:42:35,3.154062750000005,1,"(1.9, 3.8]"
1,04/10/2023,07:43:05,-18.918009,-48.230618,71.125,26.562502,26.1775,26.115,26.115,26.156668,26.1775,26.1775,26.1775,26.1775,2023-04-10 07:43:05,3.159271000000004,1,"(1.9, 3.8]"
1,04/10/2023,07:43:35,-18.918039,-48.230648,71.0,26.537498,26.1775,26.115,26.135834,26.1775,26.1775,26.1775,26.1775,26.1775,2023-04-10 07:43:35,3.164479250000003,1,"(1.9, 3.8]"
1,04/10/2023,07:44:05,-18.918039,-48.230671,71.875,26.599997,26.24,26.115,26.1775,26.1775,26.1775,26.219168,26.24,26.24,2023-04-10 07:44:05,3.1983335000000004,1,"(1.9, 3.8]"
1,04/10/2023,07:44:35,-18.918049,-48.230591,72.0,26.624998,26.24,26.1775,26.1775,26.24,26.24,26.24,26.24,26.24,2023-04-10 07:44:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:45:05,-18.918077,-48.230522,72.5,26.712496,26.3025,26.24,26.24,26.24,26.24,26.24,26.260834,26.3025,2023-04-10 07:45:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:45:35,-18.918137,-48.230457,72.5,26.599998,26.439999,26.3025,26.3025,26.344168,26.365,26.365,26.4275,26.4275,2023-04-10 07:45:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:46:05,-18.918142,-48.230473,75.0,26.650002,26.49,26.4275,26.4275,26.448334,26.469168,26.469168,26.469168,26.469168,2023-04-10 07:46:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:46:35,-18.918148,-48.230484,73.0,26.625,26.4275,26.365,26.4275,26.4275,26.4275,26.4275,26.4275,26.4275,2023-04-10 07:46:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:47:05,-18.918116,-48.23053,73.0,26.674997,26.4275,26.365,26.4275,26.4275,26.4275,26.4275,26.4275,26.4275,2023-04-10 07:47:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:47:35,-18.918137,-48.230576,72.125,26.699999,26.4275,26.365,26.365,26.4275,26.4275,26.4275,26.4275,26.4275,2023-04-10 07:47:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:48:05,-18.918011,-48.23056,71.875,26.737501,26.49,26.4275,26.4275,26.4275,26.4275,26.4275,26.469168,26.49,2023-04-10 07:48:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:48:35,-18.918104,-48.230545,71.375,26.75,26.49,26.4275,26.4275,26.469168,26.49,26.49,26.49,26.49,2023-04-10 07:48:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:49:05,-18.91795,-48.23053,71.125,26.762499,26.5525,26.49,26.49,26.49,26.49,26.531668,26.5525,26.5525,2023-04-10 07:49:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:49:35,-18.918018,-48.230511,71.0,26.787493,26.602499,26.49,26.510834,26.5525,26.5525,26.5525,26.5525,26.573334,2023-04-10 07:49:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:50:05,-18.918079,-48.230518,71.75,26.8125,26.577499,26.5525,26.5525,26.5525,26.5525,26.5525,26.5525,26.5525,2023-04-10 07:50:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:50:35,-18.918083,-48.230553,71.75,26.849997,26.564999,26.5525,26.5525,26.5525,26.5525,26.5525,26.573334,26.5525,2023-04-10 07:50:35,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:51:05,-18.918083,-48.23056,70.25,26.8375,26.615,26.5525,26.5525,26.5525,26.5525,26.5525,26.573334,26.594168,2023-04-10 07:51:05,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:51:35,-18.918089,-48.23056,69.875,26.862497,26.615,26.5525,26.573334,26.615,26.615,26.615,26.615,26.615,2023-04-10 07:51:35,5.601979250000003,1,"(3.8, 5.7]"
1,04/10/2023,07:52:05,-18.918076,-48.230568,69.875,26.949997,26.639999,26.615,26.615,26.615,26.615,26.615,26.615,26.635834,2023-04-10 07:52:05,5.620729125,1,"(3.8, 5.7]"
1,04/10/2023,07:52:35,-18.918108,-48.230564,69.5,26.924997,26.6775,26.615,26.615,26.615,26.615,26.635834,26.615,26.635834,2023-04-10 07:52:35,5.628020999999997,1,"(3.8, 5.7]"
1,04/10/2023,07:53:05,-18.918102,-48.230511,69.0,26.9625,26.6775,26.615,26.615,26.615,26.6775,26.6775,26.6775,26.6775,2023-04-10 07:53:05,5.654062500000002,1,"(3.8, 5.7]"
